Mod:Item:MetaData, Localized Name
ExtraUtilities:greenscreen:12, Небесный камень (Коричневый)
ExtraUtilities:greenscreen:13, Небесный камень (Зелёный)
ExtraUtilities:greenscreen:14, Небесный камень (Красный)
ExtraUtilities:greenscreen:15, Небесный камень (Чёрный)
ExtraUtilities:trading_post, Стол обмена
ExtraUtilities:sound_muffler:0, Глушитель звука
ExtraUtilities:sound_muffler:1, Глушитель дождя
ExtraUtilities:extractor_base:0, Узел передачи (Предметы)
ExtraUtilities:extractor_base:6, Узел передачи (Жидкости)
ExtraUtilities:extractor_base:12, Узел передачи (Энергия)
ExtraUtilities:extractor_base:13, Узел передачи (Гипер энергия)
ExtraUtilities:extractor_base_remote:0, Поисковой узел (Предметы)
ExtraUtilities:extractor_base_remote:6, Поисковой узел (Жидкости)
ExtraUtilities:pipes:0, Труба для передачи
ExtraUtilities:pipes:8, Сортирующая труба
ExtraUtilities:pipes:9, Фильтрующая труба
ExtraUtilities:pipes:10, Труба рационирования
ExtraUtilities:pipes:11, Энергетическая труба
ExtraUtilities:pipes:12, Перекрёстная труба
ExtraUtilities:pipes:13, Труба для сортировки по модам
ExtraUtilities:pipes:14, Труба для извлечения энергии
ExtraUtilities:pipes.1:0, Труба гипер-рационирования
ExtraUtilities:nodeUpgrade:0, Улучшение скорости
ExtraUtilities:nodeUpgrade:1, Предметный фильтр
ExtraUtilities:nodeUpgrade:2, Улучшение «Взаимодействие с миром»
ExtraUtilities:nodeUpgrade:3, Улучшение «Стак»
ExtraUtilities:nodeUpgrade:4, Творческое улучшение
ExtraUtilities:nodeUpgrade:5, Передатчик Края
ExtraUtilities:nodeUpgrade:6, Приёмник Края
ExtraUtilities:nodeUpgrade:7, Улучшение «Поиск в глубину»
ExtraUtilities:nodeUpgrade:8, Улучшение «Поиск в ширину»
ExtraUtilities:nodeUpgrade:9, Улучшение «Круговая система»
ExtraUtilities:nodeUpgrade:10, Предметный фильтр (Продвинутый)
ExtraUtilities:cursedearthside:0, Проклятая земля
ExtraUtilities:trashcan:0, Мусорная корзина
ExtraUtilities:trashcan:1, Мусорная корзина (Жидкости)
ExtraUtilities:trashcan:2, Мусорная корзина (Энергия)
ExtraUtilities:spike_base, Железный шип
ExtraUtilities:spike_base_diamond, Алмазный шип
ExtraUtilities:spike_base_gold, Золотой шип
ExtraUtilities:spike_base_wood, Деревянный шип
ExtraUtilities:enderThermicPump, Края-термическая помпа
ExtraUtilities:enderQuarry, Карьер Края
ExtraUtilities:enderQuarryUpgrade:0, Улучшение карьера Края «Основа»
ExtraUtilities:enderQuarryUpgrade:1, Улучшение карьера Края «Всемирные отверстия»
ExtraUtilities:enderQuarryUpgrade:2, Улучшение карьера Края «Шёлковое касание»
ExtraUtilities:enderQuarryUpgrade:3, Улучшение карьера Края «Удача I»
ExtraUtilities:enderQuarryUpgrade:4, Улучшение карьера Края «Удача II»
ExtraUtilities:enderQuarryUpgrade:5, Улучшение карьера Края «Удача III»
ExtraUtilities:enderQuarryUpgrade:6, Улучшение карьера Края «Скорость I»
ExtraUtilities:enderQuarryUpgrade:7, Улучшение карьера Края «Скорость II»
ExtraUtilities:enderQuarryUpgrade:8, Улучшение карьера Края «Скорость III»
ExtraUtilities:enderQuarryUpgrade:9, Улучшение карьера Края «Помпа»
ExtraUtilities:plant/ender_lilly, Семена лилии Края
ExtraUtilities:timer, Красные часы
ExtraUtilities:magnumTorch:0, Большой факел
ExtraUtilities:drum:0, Барабан
ExtraUtilities:drum:1, Барабан из бедрокия
ExtraUtilities:generator:0, Генератор выжившего
ExtraUtilities:generator:1, Печной генератор
ExtraUtilities:generator:2, Лавовый генератор
ExtraUtilities:generator:3, Генератор Края
ExtraUtilities:generator:4, Генератор на расплавленном красном камне
ExtraUtilities:generator:5, Кухонный генератор
ExtraUtilities:generator:6, Генератор на зельях
ExtraUtilities:generator:7, Солнечный генератор
ExtraUtilities:generator:8, ТНТ генератор
ExtraUtilities:generator:9, Розовый генератор
ExtraUtilities:generator:10, Высокотемпературный печной генератор
ExtraUtilities:generator:11, Генератор на звезде Нижнего мира
ExtraUtilities:generator.8:0, Генератор выжившего
ExtraUtilities:generator.8:1, Печной генератор
ExtraUtilities:generator.8:2, Лавовый генератор
ExtraUtilities:generator.8:3, Генератор Края
ExtraUtilities:generator.8:4, Генератор на расплавленном красном камне
ExtraUtilities:generator.8:5, Кухонный генератор
ExtraUtilities:generator.8:6, Генератор на зельях
ExtraUtilities:generator.8:7, Солнечный генератор
ExtraUtilities:generator.8:8, ТНТ генератор
ExtraUtilities:generator.8:9, Розовый генератор
ExtraUtilities:generator.8:10, Высокотемпературный печной генератор
ExtraUtilities:generator.8:11, Генератор на звезде Нижнего мира
ExtraUtilities:generator.64:0, Генератор выжившего
ExtraUtilities:generator.64:1, Печной генератор
ExtraUtilities:generator.64:2, Лавовый генератор
ExtraUtilities:generator.64:3, Генератор Края
ExtraUtilities:generator.64:4, Генератор на расплавленном красном камне
ExtraUtilities:generator.64:5, Кухонный генератор
ExtraUtilities:generator.64:6, Генератор на зельях
ExtraUtilities:generator.64:7, Солнечный генератор
ExtraUtilities:generator.64:8, ТНТ генератор
ExtraUtilities:generator.64:9, Розовый генератор
ExtraUtilities:generator.64:10, Высокотемпературный печной генератор
ExtraUtilities:generator.64:11, Генератор на звезде Нижнего мира
ExtraUtilities:lawSword, Kikoku
ExtraUtilities:golden_lasso:0, Золотое лассо
ExtraUtilities:divisionSigil, Сигил деления
ExtraUtilities:unstableingot:0, Нестабильный слиток
ExtraUtilities:unstableingot:1, Полустабильный самородок
ExtraUtilities:unstableingot:2, Мобиус "Нестабильный/Cтабильный" слиток
ExtraUtilities:dark_portal:0, Портал в 'Глубокую темноту'
ExtraUtilities:dark_portal:2, Портал в 'Прошедшее тысячелетие'
ExtraUtilities:builderswand, Жезл строителя
ExtraUtilities:shears, Острые ножницы
ExtraUtilities:creativebuilderswand, Творческий жезл строителя
ExtraUtilities:ethericsword, Эфирный меч
ExtraUtilities:erosionShovel, Эрозийная лопата
ExtraUtilities:destructionpickaxe, Разрушающая кирка
ExtraUtilities:defoliageAxe, Исцеляющий топор
ExtraUtilities:temporalHoe, Реверсивная мотыга
ExtraUtilities:sonar_goggles, Сонарные очки
ExtraUtilities:etherealglass:0, Эфирное стекло
ExtraUtilities:etherealglass:1, Невыразимое стекло
ExtraUtilities:etherealglass:2, Тёмное эфирное стекло
ExtraUtilities:etherealglass:3, Эфирное стекло (Инвертированное)
ExtraUtilities:etherealglass:4, Невыразимое стекло (Инвертированное)
ExtraUtilities:etherealglass:5, Тёмное эфирное стекло (Инвертированное)
ExtraUtilities:watering_can, Лейка
ExtraUtilities:scanner, Переносной сканер
ExtraUtilities:golden_bag, Золотой мешочек удержания
ExtraUtilities:bedrockiumIngot, Слиток бедрокия
TConstruct:liquid.slime, Сжиженная слизь
TConstruct:MeatBlock, Ветчина на кости
TConstruct:WoolSlab1:0, Плита светло-серой шерсти
TConstruct:WoolSlab1:1, Плита из бирюзовой шерсти
TConstruct:WoolSlab1:2, Плита из фиолетовой шерсти
TConstruct:WoolSlab1:3, Плита из синей шерсти
TConstruct:WoolSlab1:4, Плита из коричневой шерсти
TConstruct:WoolSlab1:5, Плита из зелёной шерсти
TConstruct:WoolSlab1:6, Плита из красной шерсти
TConstruct:WoolSlab1:7, Плита из чёрной шерсти
TConstruct:WoolSlab2:0, Плита из серой шерсти
TConstruct:WoolSlab2:1, Плита из серой шерсти
TConstruct:WoolSlab2:2, Плита из серой шерсти
TConstruct:WoolSlab2:3, Плита из серой шерсти
TConstruct:WoolSlab2:4, Плита из серой шерсти
TConstruct:WoolSlab2:5, Плита из серой шерсти
TConstruct:WoolSlab2:6, Плита из серой шерсти
TConstruct:WoolSlab2:7, Плита из серой шерсти
TConstruct:trap.punji, Колышек
TConstruct:trap.barricade.oak, Баррикада из дуба
TConstruct:trap.barricade.spruce, Баррикада из ели
TConstruct:trap.barricade.birch, Баррикада из берёзы
TConstruct:trap.barricade.jungle, Баррикада из тропического дерева
TConstruct:explosive.slime:0, Бомба из слизи
TConstruct:explosive.slime:2, Бомба из слизи
TConstruct:slime.gel:0, Застывшая синяя слизь
TConstruct:slime.gel:1, Застывшая зелёная слизь
TConstruct:slime.gel:2, Застывшая фиолетовая слизь
TConstruct:slime.grass:0, Слизневая трава
TConstruct:slime.grass.tall:0, Слизневая трава
TConstruct:slime.leaves:0, Слизневая листва
TConstruct:slime.sapling:0, Слизневый саженец
TConstruct:slime.channel, Сточная слизь
TConstruct:blood.channel, Сточная кровь
TConstruct:slime.pad, Прыжковая панель
TConstruct:decoration.stonetorch, Факел
TConstruct:decoration.stoneladder, Лестница
TConstruct:decoration.multibrick:0, Обсидиановый кирпич
TConstruct:decoration.multibrick:1, Песчаниковый кирпич
TConstruct:decoration.multibrick:2, Кирпич Нижнего мира
TConstruct:decoration.multibrick:3, Кирпич из гладкого камня
TConstruct:decoration.multibrick:4, Железный кирпич
TConstruct:decoration.multibrick:5, Золотой кирпич
TConstruct:decoration.multibrick:6, Лазуритовый кирпич
TConstruct:decoration.multibrick:7, Алмазный кирпич
TConstruct:decoration.multibrick:8, Красный кирпич
TConstruct:decoration.multibrick:9, Костяной кирпич
TConstruct:decoration.multibrick:10, Слизневый кирпич
TConstruct:decoration.multibrick:11, Слизневый кирпич
TConstruct:decoration.multibrick:12, Кирпич из камня Края
TConstruct:decoration.multibrick:13, Обсидиановый кирпич
TConstruct:decoration.multibrickfancy:0, Красивый обсидиановый кирпич
TConstruct:decoration.multibrickfancy:1, Красивый песчаниковый кирпич
TConstruct:decoration.multibrickfancy:2, Красивый кирпич Нижнего мира
TConstruct:decoration.multibrickfancy:3, Красивый кирпич из гладкого камня
TConstruct:decoration.multibrickfancy:4, Красивый железный кирпич
TConstruct:decoration.multibrickfancy:5, Красивый золотой кирпич
TConstruct:decoration.multibrickfancy:6, Красивый лазуритовый кирпич
TConstruct:decoration.multibrickfancy:7, Красивый алмазный кирпич
TConstruct:decoration.multibrickfancy:8, Красивый красный кирпич
TConstruct:decoration.multibrickfancy:9, Красивый костяной кирпич
TConstruct:decoration.multibrickfancy:10, Красивый слизневый кирпич
TConstruct:decoration.multibrickfancy:11, Красивый слизневый кирпич
TConstruct:decoration.multibrickfancy:12, Кирпич из красивого камня Края
TConstruct:decoration.multibrickfancy:13, Красивый обсидиановый кирпич
TConstruct:decoration.multibrickfancy:14, Кирпич из красивого камня
TConstruct:decoration.multibrickfancy:15, Каменная дорога
TConstruct:decoration.multibrickmetal:0, Алюмитовый кирпич
TConstruct:decoration.multibrickmetal:1, Ардитовый кирпич
TConstruct:decoration.multibrickmetal:2, Кобальтовый кирпич
TConstruct:decoration.multibrickmetal:3, Мануллиновый кирпич
TConstruct:decoration.multibrickmetal:4, Красивый алюмитовый кирпич
TConstruct:decoration.multibrickmetal:5, Красивый ардитовый кирпич
TConstruct:decoration.multibrickmetal:6, Красивый кобальтовый кирпич
TConstruct:decoration.multibrickmetal:7, Красивый мануллиновый кирпич
TConstruct:ore.berries.one:8, Железный рудный куст
TConstruct:ore.berries.one:9, Золотой рудный куст
TConstruct:ore.berries.one:10, Медный рудный куст
TConstruct:ore.berries.one:11, Оловянный рудный куст
TConstruct:ore.berries.two:8, Алюминиевый рудный куст
TConstruct:ore.berries.two:9, Куст эссенции опыта
TConstruct:SearedBrick:1, Кобальтовая руда
TConstruct:SearedBrick:2, Ардитовая руда
TConstruct:SearedBrick:3, Медная руда
TConstruct:SearedBrick:4, Оловянная руда
TConstruct:SearedBrick:5, Алюминиевая руда
TConstruct:GravelOre:0, Железная гравиевая руда
TConstruct:GravelOre:1, Золотая гравиевая руда
TConstruct:GravelOre:2, Медная гравиевая руда
TConstruct:GravelOre:3, Оловянная гравиевая руда
TConstruct:GravelOre:4, Алюминиевая гравиевая руда
TConstruct:GravelOre:5, Кобальтовая гравиевая руда
TConstruct:rail.wood, Деревянные рельсы
TConstruct:goldHead:0, Золотистая голова
TConstruct:strangeFood:0, Желатиновая слизь
TConstruct:strangeFood:1, Свернувшаяся кровь
TConstruct:strangeFood:2, Бекон
TConstruct:oreBerries:0, Кусочки железа
TConstruct:oreBerries:1, Кусочки золота
TConstruct:oreBerries:2, Кусочки меди
TConstruct:oreBerries:3, Кусочки олова
TConstruct:oreBerries:4, Кусочки алюминия
TConstruct:oreBerries:5, Кусочки концентрированной эссенции
TConstruct:MetalBlock:0, Кобальтовый блок
TConstruct:MetalBlock:1, Ардитовый блок
TConstruct:MetalBlock:2, Мануллиновый блок
TConstruct:MetalBlock:3, Медный блок
TConstruct:MetalBlock:4, Бронзовый блок
TConstruct:MetalBlock:5, Оловянный блок
TConstruct:MetalBlock:6, Алюминиевый блок
TConstruct:MetalBlock:7, Блок алюминиевой латуни
TConstruct:MetalBlock:8, Алюмитовый блок
TConstruct:MetalBlock:9, Стальной блок
TConstruct:MetalBlock:10, Блок спрессованного ока Края
TConstruct:ToolStationBlock:0, Инженерная станция
TConstruct:ToolStationBlock:1, Конструктор деталей
TConstruct:ToolStationBlock:2, Конструктор деталей
TConstruct:ToolStationBlock:3, Конструктор деталей
TConstruct:ToolStationBlock:4, Конструктор деталей
TConstruct:ToolStationBlock:5, Сундук для схем
TConstruct:ToolStationBlock:10, Стол для вырезки схем
TConstruct:ToolStationBlock:11, Стол для вырезки схем
TConstruct:ToolStationBlock:12, Стол для вырезки схем
TConstruct:ToolStationBlock:13, Стол для вырезки схем
TConstruct:ToolForgeBlock:0, Инженерная кузня
TConstruct:ToolForgeBlock:1, Инженерная кузня
TConstruct:ToolForgeBlock:2, Инженерная кузня
TConstruct:ToolForgeBlock:3, Инженерная кузня
TConstruct:ToolForgeBlock:4, Инженерная кузня
TConstruct:ToolForgeBlock:5, Инженерная кузня
TConstruct:ToolForgeBlock:6, Инженерная кузня
TConstruct:ToolForgeBlock:7, Инженерная кузня
TConstruct:ToolForgeBlock:8, Инженерная кузня
TConstruct:ToolForgeBlock:9, Инженерная кузня
TConstruct:ToolForgeBlock:10, Инженерная кузня
TConstruct:ToolForgeBlock:11, Инженерная кузня
TConstruct:ToolForgeBlock:12, Инженерная кузня
TConstruct:ToolForgeBlock:13, Инженерная кузня
TConstruct:CraftingStation, Верстак инженера
TConstruct:CraftingSlab:0, Верстак инженера
TConstruct:CraftingSlab:1, Инженерная станция
TConstruct:CraftingSlab:2, Конструктор деталей
TConstruct:CraftingSlab:3, Стол для вырезки схем
TConstruct:CraftingSlab:4, Сундук для схем
TConstruct:CraftingSlab:5, Инженерная кузня
TConstruct:FurnaceSlab, Печь-плита
TConstruct:HeldItemBlock, Сковорода
TConstruct:BattleSignBlock, tile.Battlesign.name
TConstruct:CraftedSoil:0, Слизневая грязь
TConstruct:CraftedSoil:1, Цемент
TConstruct:CraftedSoil:2, Слизневая грязь
TConstruct:CraftedSoil:3, Кладбищенская почва
TConstruct:CraftedSoil:4, Священная почва
TConstruct:CraftedSoil:5, Земля из синей слизи
TConstruct:CraftedSoil:6, Слизевая почва
TConstruct:titleIcon:0, Призвать существо - Синий слизень
TConstruct:titleIcon:1, Призвать существо - Король слизней
TConstruct:blankPattern:0, Пустая схема
TConstruct:blankPattern:1, Пустой слепок
TConstruct:blankPattern:2, Пустой слепок
TConstruct:blankPattern:3, Blank Clay Cast
TConstruct:materials:0, Кучка бумаги
TConstruct:materials:1, Слизневый кристалл
TConstruct:materials:2, Обожжённый кирпич
TConstruct:materials:3, Кобальтовый слиток
TConstruct:materials:4, Ардитовый слиток
TConstruct:materials:5, Мануллиновый слиток
TConstruct:materials:6, Шарик мха
TConstruct:materials:7, Лавовый кристалл
TConstruct:materials:8, Некротическая кость
TConstruct:materials:9, Медный слиток
TConstruct:materials:10, Оловянный слиток
TConstruct:materials:11, Алюминиевый слиток
TConstruct:materials:12, Необработанный алюминий
TConstruct:materials:13, Бронзовый слиток
TConstruct:materials:14, Слиток алюминиевой латуни
TConstruct:materials:15, Алюмитовый слиток
TConstruct:materials:16, Стальной слиток
TConstruct:materials:17, Слизневый кристалл
TConstruct:materials:18, Обсидиановый слиток
TConstruct:materials:19, Железный самородок
TConstruct:materials:20, Медный самородок
TConstruct:materials:21, Оловянный самородок
TConstruct:materials:22, Алюминиевый самородок
TConstruct:materials:24, Самородок алюминиевой латуни
TConstruct:materials:25, Шелковистая ткань
TConstruct:materials:26, Шелковистая драгоценность
TConstruct:materials:27, Обсидиановый самородок
TConstruct:materials:28, Кобальтовый самородок
TConstruct:materials:29, Ардитовый самородок
TConstruct:materials:30, Мануллиновый самородок
TConstruct:materials:31, Бронзовый самородок
TConstruct:materials:32, Алюмитовый самородок
TConstruct:materials:33, Стальной самородок
TConstruct:materials:34, Слиток свиного железа
TConstruct:materials:35, Тарелка свиного железа
TConstruct:materials:36, Шарик клея
TConstruct:materials:37, Обожжённый кирпич
TConstruct:materials:38, Ардитовая пыль
TConstruct:materials:39, Кобальтовая пыль
TConstruct:materials:40, Алюминиевая пыль
TConstruct:materials:41, Мануллиновая пыль
TConstruct:materials:42, Пыль алюминиевой латуни
TConstruct:materials:43, Укрепитель
TConstruct:woodPattern:1, Схема стержня
TConstruct:woodPattern:2, Схема обуха кирки
TConstruct:woodPattern:3, Схема штыка лопаты
TConstruct:woodPattern:4, Схема обуха топора
TConstruct:woodPattern:5, Схема лезвия меча
TConstruct:woodPattern:6, Схема широкой гарды
TConstruct:woodPattern:7, Схема малой гарды
TConstruct:woodPattern:8, Схема поперечной гарды
TConstruct:woodPattern:9, Схема крепления
TConstruct:woodPattern:10, Схема сковороды
TConstruct:woodPattern:11, Схема широкой таблички
TConstruct:woodPattern:12, Схема лезвия ножа
TConstruct:woodPattern:13, Схема лезвия стамески
TConstruct:woodPattern:14, Схема прочного стержня
TConstruct:woodPattern:15, Схема прочного крепления
TConstruct:woodPattern:16, Схема большой пластины
TConstruct:woodPattern:17, Схема большого обуха топора
TConstruct:woodPattern:18, Схема лезвия косы
TConstruct:woodPattern:19, Схема пластины копалки
TConstruct:woodPattern:20, Схема большого лезвия
TConstruct:woodPattern:21, Схема бойка молота
TConstruct:woodPattern:22, Схема полной гарды
TConstruct:woodPattern:23, Схема тетивы
TConstruct:woodPattern:24, Схема оперения
TConstruct:woodPattern:25, Схема наконечника стрелы
TConstruct:manualBook:0, Материалы и Вы: Том 1
TConstruct:manualBook:1, Материалы и Вы: Том 2
TConstruct:manualBook:2, Могучая металлургия
TConstruct:manualBook:3, Дневник инженера
TConstruct:manualBook:4, Вооружение инженера
TConstruct:pickaxe, Кирка
TConstruct:shovel, Лопата
TConstruct:hatchet, Топорик
TConstruct:broadsword, Палаш
TConstruct:longsword, Полуторный меч
TConstruct:rapier, Рапира
TConstruct:dagger, Кинжал
TConstruct:cutlass, Сабля
TConstruct:frypan, Сковорода
TConstruct:battlesign, Боевая табличка
TConstruct:mattock, Мотыготопор
TConstruct:chisel, Стамеска
TConstruct:lumberaxe, Большой топор
TConstruct:cleaver, Тесак
TConstruct:scythe, Коса
TConstruct:excavator, Копалка
TConstruct:hammer, Молот
TConstruct:battleaxe, Боевой топор
TConstruct:potionLauncher, Метатель зелий
TConstruct:toolRod:0, Деревянный стержень
TConstruct:toolRod:1, Каменный стержень
TConstruct:toolRod:2, Железный стержень
TConstruct:toolRod:3, Кремниевый стержень
TConstruct:toolRod:4, Кактусовый стержень
TConstruct:toolRod:5, Костяной стержень
TConstruct:toolRod:6, Обсидиановый стержень
TConstruct:toolRod:7, Стержень из камня Нижнего мира
TConstruct:toolRod:8, Слизневый стержень
TConstruct:toolRod:9, Бумажный стержень
TConstruct:toolRod:10, Кобальтовый стержень
TConstruct:toolRod:11, Ардитовый стержень
TConstruct:toolRod:12, Мануллиновый стержень
TConstruct:toolRod:13, Медный стержень
TConstruct:toolRod:14, Бронзовый стержень
TConstruct:toolRod:15, Алюмитовый стержень
TConstruct:toolRod:16, Стальной стержень
TConstruct:toolRod:17, Стержень из синей слизи
TConstruct:toolRod:18, Стержень из свиного железа
TConstruct:toolShard:1, Каменный осколок
TConstruct:toolShard:3, Кремниевый осколок
TConstruct:toolShard:4, Кактусовый осколок
TConstruct:toolShard:6, Обсидиановый осколок
TConstruct:toolShard:7, Осколок камня Нижнего мира
TConstruct:toolShard:8, Слизневый осколок
TConstruct:toolShard:17, Осколок синей слизи
TConstruct:pickaxeHead:0, Деревянный обух кирки
TConstruct:pickaxeHead:1, Каменный обух кирки
TConstruct:pickaxeHead:2, Железный обух кирки
TConstruct:pickaxeHead:3, Кремниевый обух кирки
TConstruct:pickaxeHead:4, Кактусовый обух кирки
TConstruct:pickaxeHead:5, Костяной обух кирки
TConstruct:pickaxeHead:6, Обсидиановый обух кирки
TConstruct:pickaxeHead:7, Обух кирки из камня Нижнего мира
TConstruct:pickaxeHead:8, Слизневый обух кирки
TConstruct:pickaxeHead:9, Бумажный обух кирки
TConstruct:pickaxeHead:10, Кобальтовый обух кирки
TConstruct:pickaxeHead:11, Ардитовый обух кирки
TConstruct:pickaxeHead:12, Мануллиновый обух кирки
TConstruct:pickaxeHead:13, Медный обух кирки
TConstruct:pickaxeHead:14, Бронзовый обух кирки
TConstruct:pickaxeHead:15, Алюмитовый обух кирки
TConstruct:pickaxeHead:16, Стальной обух кирки
TConstruct:pickaxeHead:17, Обух кирки из синей слизи
TConstruct:pickaxeHead:18, Обух кирки из свиного железа
TConstruct:shovelHead:0, Деревянный штык лопаты
TConstruct:shovelHead:1, Каменный штык лопаты
TConstruct:shovelHead:2, Железный штык лопаты
TConstruct:shovelHead:3, Кремниевый штык лопаты
TConstruct:shovelHead:4, Кактусовый штык лопаты
TConstruct:shovelHead:5, Костяной штык лопаты
TConstruct:shovelHead:6, Обсидиановый штык лопаты
TConstruct:shovelHead:7, Штык лопаты из камня Нижнего мира
TConstruct:shovelHead:8, Слизневый штык лопаты
TConstruct:shovelHead:9, Бумажный штык лопаты
TConstruct:shovelHead:10, Кобальтовый штык лопаты
TConstruct:shovelHead:11, Ардитовый штык лопаты
TConstruct:shovelHead:12, Мануллиновый штык лопаты
TConstruct:shovelHead:13, Медный штык лопаты
TConstruct:shovelHead:14, Бронзовый штык лопаты
TConstruct:shovelHead:15, Алюмитовый штык лопаты
TConstruct:shovelHead:16, Стальной штык лопаты
TConstruct:shovelHead:17, Штык лопаты из синей слизи
TConstruct:shovelHead:18, Штык лопаты из свиного железа
TConstruct:hatchetHead:0, Деревянный обух топора
TConstruct:hatchetHead:1, Каменный обух топора
TConstruct:hatchetHead:2, Железный обух топора
TConstruct:hatchetHead:3, Кремниевый обух топора
TConstruct:hatchetHead:4, Кактусовый обух топора
TConstruct:hatchetHead:5, Костяной обух топора
TConstruct:hatchetHead:6, Обсидиановый обух топора
TConstruct:hatchetHead:7, Обух топора из камня Нижнего мира
TConstruct:hatchetHead:8, Слизневый обух топора
TConstruct:hatchetHead:9, Бумажный обух топора
TConstruct:hatchetHead:10, Кобальтовый обух топора
TConstruct:hatchetHead:11, Ардитовый обух топора
TConstruct:hatchetHead:12, Мануллиновый обух топора
TConstruct:hatchetHead:13, Медный обух топора
TConstruct:hatchetHead:14, Бронзовый обух топора
TConstruct:hatchetHead:15, Алюмитовый обух топора
TConstruct:hatchetHead:16, Стальной обух топора
TConstruct:hatchetHead:17, Обух топора из синей слизи
TConstruct:hatchetHead:18, Обух топора из свиного железа
TConstruct:binding:0, Деревянное крепление
TConstruct:binding:1, Каменное крепление
TConstruct:binding:2, Железное крепление
TConstruct:binding:3, Кремниевое крепление
TConstruct:binding:4, Кактусовое крепление
TConstruct:binding:5, Костяное крепление
TConstruct:binding:6, Обсидиановое крепление
TConstruct:binding:7, Крепление из камня Нижнего мира
TConstruct:binding:8, Слизневое крепление
TConstruct:binding:9, Бумажное крепление
TConstruct:binding:10, Кобальтовое крепление
TConstruct:binding:11, Ардитовое крепление
TConstruct:binding:12, Мануллиновое крепление
TConstruct:binding:13, Медное крепление
TConstruct:binding:14, Бронзовое крепление
TConstruct:binding:15, Алюмитовое крепление
TConstruct:binding:16, Стальное крепление
TConstruct:binding:17, Крепление из синей слизи
TConstruct:binding:18, Крепление из свиного железа
TConstruct:toughBinding:0, Деревянное прочное крепление
TConstruct:toughBinding:1, Каменное прочное крепление
TConstruct:toughBinding:2, Железное прочное крепление
TConstruct:toughBinding:3, Кремниевое прочное крепление
TConstruct:toughBinding:4, Кактусовое прочное крепление
TConstruct:toughBinding:5, Костяное прочное крепление
TConstruct:toughBinding:6, Обсидиановое прочное крепление
TConstruct:toughBinding:7, Прочное крепление из камня Нижнего мира
TConstruct:toughBinding:8, Слизневое прочное крепление
TConstruct:toughBinding:9, Бумажное прочное крепление
TConstruct:toughBinding:10, Кобальтовое прочное крепление
TConstruct:toughBinding:11, Ардитовое прочное крепление
TConstruct:toughBinding:12, Мануллиновое прочное крепление
TConstruct:toughBinding:13, Медное прочное крепление
TConstruct:toughBinding:14, Бронзовое прочное крепление
TConstruct:toughBinding:15, Алюмитовое прочное крепление
TConstruct:toughBinding:16, Стальное прочное крепление
TConstruct:toughBinding:17, Прочное крепление из синей слизи
TConstruct:toughBinding:18, Прочное крепление из свиного железа
TConstruct:toughRod:0, Деревянный прочный стержень
TConstruct:toughRod:1, Каменный прочный стержень
TConstruct:toughRod:2, Железный прочный стержень
TConstruct:toughRod:3, Кремниевый прочный стержень
TConstruct:toughRod:4, Кактусовый прочный стержень
TConstruct:toughRod:5, Костяной прочный стержень
TConstruct:toughRod:6, Обсидиановый прочный стержень
TConstruct:toughRod:7, Прочный стержень из камня Нижнего мира
TConstruct:toughRod:8, Слизневый прочный стержень
TConstruct:toughRod:9, Бумажный прочный стержень
TConstruct:toughRod:10, Кобальтовый прочный стержень
TConstruct:toughRod:11, Ардитовый прочный стержень
TConstruct:toughRod:12, Мануллиновый прочный стержень
TConstruct:toughRod:13, Медный прочный стержень
TConstruct:toughRod:14, Бронзовый прочный стержень
TConstruct:toughRod:15, Алюмитовый прочный стержень
TConstruct:toughRod:16, Стальной прочный стержень
TConstruct:toughRod:17, Прочный стержень из синей слизи
TConstruct:toughRod:18, Прочный стержень из свиного железа
TConstruct:heavyPlate:0, Деревянная большая пластина
TConstruct:heavyPlate:1, Каменная большая пластина
TConstruct:heavyPlate:2, Железная большая пластина
TConstruct:heavyPlate:3, Кремниевая большая пластина
TConstruct:heavyPlate:4, Кактусовая большая пластина
TConstruct:heavyPlate:5, Костяная большая пластина
TConstruct:heavyPlate:6, Обсидиановая большая пластина
TConstruct:heavyPlate:7, Большая пластина из камня Нижнего мира
TConstruct:heavyPlate:8, Слизневая большая пластина
TConstruct:heavyPlate:9, Бумажная большая пластина
TConstruct:heavyPlate:10, Кобальтовая большая пластина
TConstruct:heavyPlate:11, Ардитовая большая пластина
TConstruct:heavyPlate:12, Мануллиновая большая пластина
TConstruct:heavyPlate:13, Медная большая пластина
TConstruct:heavyPlate:14, Бронзовая большая пластина
TConstruct:heavyPlate:15, Алюмитовая большая пластина
TConstruct:heavyPlate:16, Стальная большая пластина
TConstruct:heavyPlate:17, Большая пластина из синей слизи
TConstruct:heavyPlate:18, Большая пластина из свиного железа
TConstruct:swordBlade:0, Деревянное лезвие меча
TConstruct:swordBlade:1, Каменное лезвие меча
TConstruct:swordBlade:2, Железное лезвие меча
TConstruct:swordBlade:3, Кремниевое лезвие меча
TConstruct:swordBlade:4, Кактусовое лезвие меча
TConstruct:swordBlade:5, Костяное лезвие меча
TConstruct:swordBlade:6, Обсидиановое лезвие меча
TConstruct:swordBlade:7, Лезвие меча из камня Нижнего мира
TConstruct:swordBlade:8, Слизневое лезвие меча
TConstruct:swordBlade:9, Бумажное лезвие меча
TConstruct:swordBlade:10, Кобальтовое лезвие меча
TConstruct:swordBlade:11, Ардитовое лезвие меча
